sentence,num_words,google_language,stopwords_language,book_name
CHAPTER 42.,2,{'en': 0.9999934355670919},{},moby_dick
The Whiteness of The Whale.,5,{'en': 0.9999973242683643},"{'dutch': 1, 'english': 1}",moby_dick
CHAPTER 43.,2,{'en': 0.9999944702868375},{},moby_dick
CHAPTER 44.,2,{'en': 0.9999944868249907},{},moby_dick
The Chart.,2,{'en': 0.9999971987132046},{},moby_dick
CHAPTER 45.,2,{'en': 0.9999941194442447},{},moby_dick
The Affidavit.,2,{'en': 0.9999983625208073},{},moby_dick
CHAPTER 46.,2,{'en': 0.9999936516096295},{},moby_dick
CHAPTER 47.,2,{'en': 0.9999932237870521},{},moby_dick
The Mat-Maker.,2,{'en': 0.9999963653344388},{},moby_dick
CHAPTER 48.,2,{'en': 0.9999937176948027},{},moby_dick
The First Lowering.,3,{'en': 0.9999972483393367},{},moby_dick
CHAPTER 49.,2,{'en': 0.999993616515116},{},moby_dick
The Hyena.,2,{'en': 0.999996626193842},{},moby_dick
CHAPTER 50.,2,{'en': 0.9999955081105016},{},moby_dick
Ahab?s Boat and Crew.,4,{'en': 0.9999960908215285},"{'hungarian': 1, 'english': 2, 'french': 1}",moby_dick
CHAPTER 51.,2,{'en': 0.9999946805090117},{},moby_dick
The Spirit-Spout.,2,{'en': 0.9999964957165743},{},moby_dick
CHAPTER 52.,2,{'en': 0.999995173863204},{},moby_dick
The Albatross.,2,{'en': 0.9999977618610927},{},moby_dick
CHAPTER 53.,2,{'en': 0.9999949346374208},{},moby_dick
The Gam.,2,{'en': 0.9999964731625994},{},moby_dick
CHAPTER 54.,2,{'en': 0.9999947945875444},{},moby_dick
The Town-Ho?s Story.,3,{'en': 0.9999986901935738},"{'hungarian': 1, 'english': 1, 'french': 1}",moby_dick
CHAPTER 55.,2,{'en': 0.9999937818942497},{},moby_dick
Of the Monstrous Pictures of Whales.,6,{'en': 0.9999972774291273},"{'dutch': 1, 'english': 2}",moby_dick
CHAPTER 56.,2,{'en': 0.9999962062380588},{},moby_dick
"Of the Less Erroneous Pictures of Whales, and the True Pictures of Whaling Scenes.",14,{'en': 0.9999982698164886},"{'dutch': 1, 'english': 3}",moby_dick
CHAPTER 57.,2,{'en': 0.999993895016376},{},moby_dick
Of Whales in Paint; in Teeth; in Wood; in Sheet-Iron; in Stone; in Mountains; in Stars.,16,{'en': 0.9999949971221012},"{'italian': 1, 'dutch': 1, 'english': 1, 'german': 1}",moby_dick
CHAPTER 58.,2,{'en': 0.9999950920459203},{},moby_dick
CHAPTER 59.,2,{'en': 0.9999958605239084},{},moby_dick
CHAPTER 60.,2,{'en': 0.9999938221253387},{},moby_dick
The Line.,2,{'en': 0.9999970532276506},{},moby_dick
CHAPTER 61.,2,{'en': 0.999994463645481},{},moby_dick
Stubb Kills a Whale.,4,{'en': 0.9999961924995754},"{'italian': 1, 'spanish': 1, 'hungarian': 1, 'english': 1, 'portuguese': 1}",moby_dick
CHAPTER 62.,2,{'en': 0.9999950058578027},{},moby_dick
The Dart.,2,{'en': 0.9999951072393735},{},moby_dick
CHAPTER 63.,2,{'en': 0.999994000121591},{},moby_dick
The Crotch.,2,{'en': 0.9999964586018089},{},moby_dick
CHAPTER 64.,2,{'en': 0.9999947814000231},{},moby_dick
Stubb?s Supper.,2,{'sv': 0.9999937258991474},"{'hungarian': 1, 'english': 1, 'french': 1}",moby_dick
CHAPTER 65.,2,{'en': 0.9999951644164191},{},moby_dick
The Whale as a Dish.,5,{'en': 0.9999986914024124},"{'italian': 1, 'spanish': 1, 'french': 1, 'portuguese': 2, 'hungarian': 1, 'english': 2}",moby_dick
CHAPTER 66.,2,{'en': 0.9999945122789741},{},moby_dick
The Shark Massacre.,3,{'en': 0.9999972343768394},{},moby_dick
CHAPTER 67.,2,{'en': 0.9999956567927732},{},moby_dick
Cutting In.,2,"{'en': 0.5714279527910782, 'tl': 0.4285717780119309}",{},moby_dick
CHAPTER 68.,2,{'en': 0.9999941832013208},{},moby_dick
The Blanket.,2,"{'en': 0.8571406853231611, 'da': 0.14285790606929283}",{},moby_dick
CHAPTER 69.,2,{'en': 0.9999944688179346},{},moby_dick
The Funeral.,2,{'en': 0.9999969724310086},{},moby_dick
CHAPTER 70.,2,{'en': 0.9999937065731258},{},moby_dick
The Sphynx.,2,"{'en': 0.8571413233825069, 'cy': 0.14285584298641216}",{},moby_dick
CHAPTER 71.,2,{'en': 0.9999948240571342},{},moby_dick
The Jeroboam?s Story.,3,{'en': 0.9999979110735246},"{'hungarian': 1, 'english': 1, 'french': 1}",moby_dick
CHAPTER 72.,2,{'en': 0.9999931295715914},{},moby_dick
The Monkey-Rope.,2,{'en': 0.9999968405508218},{},moby_dick
CHAPTER 73.,2,{'en': 0.9999946914337393},{},moby_dick
Stubb and Flask Kill a Right Whale; and Then Have a Talk        CHAPTER 74.,21,{'en': 0.9999968658042551},"{'italian': 1, 'spanish': 1, 'hungarian': 1, 'english': 2, 'portuguese': 1}",moby_dick
The Sperm Whale?s Head?Contrasted View.,5,{'en': 0.9999968257726102},"{'hungarian': 1, 'english': 1, 'french': 1}",moby_dick
CHAPTER 75.,2,{'en': 0.9999956534811696},{},moby_dick
The Right Whale?s Head?Contrasted View.,5,{'en': 0.9999973140307481},"{'hungarian': 1, 'english': 1, 'french': 1}",moby_dick
CHAPTER 76.,2,{'en': 0.999993409978831},{},moby_dick
The Battering-Ram.,2,{'en': 0.999995968969432},{},moby_dick
CHAPTER 77.,2,{'en': 0.9999966329358422},{},moby_dick
The Great Heidelburgh Tun.,4,{'en': 0.9999981138136022},{},moby_dick
CHAPTER 78.,2,{'en': 0.9999965239480089},{},moby_dick
Cistern and Buckets.,3,"{'en': 0.42857141507170093, 'de': 0.5714285849006028}",{'english': 1},moby_dick
CHAPTER 79.,2,{'en': 0.9999955621639198},{},moby_dick
The Prairie.,2,{'en': 0.9999962234190114},{},moby_dick
CHAPTER 80.,2,{'en': 0.9999952331396693},{},moby_dick
The Nut.,2,{'en': 0.9999975929999337},{},moby_dick
CHAPTER 81.,2,{'en': 0.999994338105485},{},moby_dick
The Pequod Meets The Virgin.,5,{'en': 0.9999970634950139},{},moby_dick
CHAPTER 82.,2,{'en': 0.9999947653519349},{},moby_dick
The Honour and Glory of Whaling.,6,{'en': 0.9999964780371977},"{'dutch': 1, 'english': 2}",moby_dick
CHAPTER 83.,2,{'en': 0.999994116924692},{},moby_dick
Jonah Historically Regarded.,3,{'en': 0.9999975755939565},{},moby_dick
CHAPTER 84.,2,{'en': 0.9999944814351472},{},moby_dick
CHAPTER 85.,2,{'en': 0.9999947146906154},{},moby_dick
The Fountain.,2,{'en': 0.9999961437216907},{},moby_dick
CHAPTER 86.,2,{'en': 0.9999946366928132},{},moby_dick
The Tail.,2,{'en': 0.9999973767517766},{},moby_dick
CHAPTER 87.,2,{'en': 0.999994664944356},{},moby_dick
The Grand Armada.,3,{'en': 0.9999962004514441},{},moby_dick
CHAPTER 88.,2,{'en': 0.9999933973655454},{},moby_dick
Schools and Schoolmasters.,3,{'en': 0.9999959691338641},{'english': 1},moby_dick
CHAPTER 89.,2,{'en': 0.9999948264098262},{},moby_dick
Fast-Fish and Loose-Fish.,3,{'en': 0.9999969220235814},{'english': 1},moby_dick
CHAPTER 90.,2,{'en': 0.9999942816565088},{},moby_dick
Heads or Tails.,3,{'en': 0.9999958047160871},{'english': 1},moby_dick
CHAPTER 91.,2,{'en': 0.9999947957106232},{},moby_dick
The Pequod Meets The Rose-Bud.,5,{'en': 0.9999954335030565},{},moby_dick
CHAPTER 92.,2,{'en': 0.999994666185903},{},moby_dick
CHAPTER 93.,2,{'en': 0.9999968129599955},{},moby_dick
The Castaway.,2,{'en': 0.999998645765887},{},moby_dick
CHAPTER 94.,2,{'en': 0.9999937373811378},{},moby_dick
A Squeeze of the Hand.,5,{'en': 0.9999983890416059},"{'dutch': 1, 'english': 2}",moby_dick
CHAPTER 95.,2,{'en': 0.9999952660617806},{},moby_dick
The Cassock.,2,{'en': 0.9999967422671354},{},moby_dick
CHAPTER 96.,2,{'en': 0.9999944150509049},{},moby_dick
The Try-Works.,2,{'en': 0.999998895787871},{},moby_dick
CHAPTER 97.,2,{'en': 0.9999941585116704},{},moby_dick
The Lamp.,2,{'en': 0.9999968893602457},{},moby_dick
CHAPTER 98.,2,{'en': 0.999994291407936},{},moby_dick
Stowing Down and Clearing Up.,5,{'en': 0.9999956862318435},{'english': 1},moby_dick
CHAPTER 99.,2,{'en': 0.999992931236498},{},moby_dick
The Doubloon.,2,{'en': 0.9999968909567212},{},moby_dick
CHAPTER 100.,2,{'en': 0.9999958985870595},{},moby_dick
Leg and Arm.,3,{'en': 0.9999957581520226},{'english': 1},moby_dick
CHAPTER 101.,2,{'en': 0.9999950320641718},{},moby_dick
The Decanter.,2,{'en': 0.9999964731445441},{},moby_dick
CHAPTER 102.,2,{'en': 0.9999945384427338},{},moby_dick
A Bower in the Arsacides.,5,{'en': 0.9999959875886806},"{'italian': 1, 'dutch': 1, 'english': 2, 'german': 1}",moby_dick
CHAPTER 103.,2,{'en': 0.9999954099222967},{},moby_dick
Measurement of The Whale?s Skeleton.,5,{'en': 0.9999962101573276},"{'dutch': 1, 'hungarian': 1, 'english': 2, 'french': 1}",moby_dick
CHAPTER 104.,2,{'en': 0.9999951841823975},{},moby_dick
The Fossil Whale.,3,{'en': 0.9999961254290319},{},moby_dick
CHAPTER 105.,2,{'en': 0.9999957356183291},{},moby_dick
Does the Whale?s Magnitude Diminish?,5,{'en': 0.9999959442544597},"{'hungarian': 1, 'english': 2, 'french': 1}",moby_dick
?Will He Perish?,3,{'en': 0.9999959792810024},{},moby_dick
CHAPTER 106.,2,{'en': 0.9999956798934133},{},moby_dick
Ahab?s Leg.,2,"{'ca': 0.714281406940403, 'hu': 0.2857130194400233}","{'hungarian': 1, 'english': 1, 'french': 1}",moby_dick
CHAPTER 107.,2,{'en': 0.9999961505049937},{},moby_dick
The Carpenter.,2,{'en': 0.9999967672965421},{},moby_dick
CHAPTER 108.,2,{'en': 0.999992213040039},{},moby_dick
Ahab and the Carpenter.,4,{'en': 0.9999957502357518},{'english': 2},moby_dick
CHAPTER 109.,2,{'en': 0.9999940280807006},{},moby_dick
